Update Time,Source,Update Time (Et),Last Check,Checker,DC,Total,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown,% Unk.,Known Hispanic,Known Non-Hispanic,Unknown,% Unk.,Total,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown,% Unk.,Known Hispanic,Known Non-Hispanic,Unknown,% Unk.,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown,% Unk.,Known Hispanic,Known Non-Hispanic,Unknown,% Unk.,,,,,,,,,,,,,,,,,,,
20200603,NC,,,6/03 11:41,6/3 23:11,RL,BL,30777,12165,6571,,629,214,86,,2998,8114,26%,8390,13028,9359,30%,939,523,303,,12,6,3,,41,51,5%,56,730,153,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,ND,,,6/03 13:00,6/3 22:17,IR,RV,2679,,,,,,,,,2679,100%,,,,,66,,,,,,,,,66,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NE,,,6/03 21:00,6/3 22:29,IR,RV,14866,,,,,,,,,14866,100%,,,,,187,,,,,,,,,187,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NH,,,6/03 0:00,6/3 22:28,IR,ATB,4795,2617,232,338,114,,,,263,1231,26%,338,3226,1231,26%,265,147,4,8,2,,,,12,92,35%,8,165,92,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NJ,,,6/02 10:00,6/3 22:38,IR,ATB,162068,32150,15671,27358,4597,,,,10975,71317,44%,27358,63393,71317,44%,11880,6092,2114,2229,617,,,,377,902,7%,2229,9200,902,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NM,,,6/03 20:02,6/3 22:50,IR,ATB,8140,969,192,1978,51,4640,,,,310,4%,1978,5852,310,4%,375,,,,,,,,,375,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NV,,,6/03 12:00,6/3 22:45,IR,ATB,8935,2141,699,2491,683,46,,,,2875,32%,2491,3569,2875,32%,429,198,52,66,63,3,,,,74,16%,66,316,74,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,NY,,,6/03 13:00,6/3 22:43,BL,ATB,374085,,,,,,,,,374085,100%,,,,,24079,7814,5750,6015,1573,,,,1728,1199,5%,6015,16865,1199,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,OH,,,6/03 14:00,6/3 23:00,IR,ATB,36792,18790,9139,,1018,42,97,1395,2722,3589,10%,2694,25264,8834,24%,2299,1807,392,,20,,,26,16,36,2%,42,2198,59,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,OK,,,6/02 0:00,6/3 22:30,SPA,ATB,6805,4435,639,,188,429,,,279,835,12%,1374,4486,945,14%,341,264,27,,2,23,,,8,17,5%,10,300,31,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,OR,,,6/03 0:00,6/3 22:45,SPA,ATB,4399,2115,119,,152,94,76,78,1293,472,11%,1502,2462,435,10%,159,114,6,,7,3,1,2,11,15,9%,16,119,24,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,PA,,,6/02 12:00,6/3 23:37,SPA,RV,73405,20563,9071,,1082,,,,463,42226,58%,5000,13100,55305,75%,5742,3958,1116,,133,,,,257,278,5%,304,5160,278,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,RI,,,6/03 12:04,6/3 22:37,AFG,RV,15219,4052,1399,5009,,,,287,416,4056,27%,5009,6154,4056,27%,742,507,37,69,,,,0,7,122,16%,69,551,122,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,SC,,,6/02 16:00,6/3 23:05,SPA,RL,12651,4588,4812,,223,,,,783,2354,18%,1359,7931,3360,27%,518,244,204,,4,,,,4,59,11%,9,404,109,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,SD,,,6/03 11:45,6/3 23:07,IR,RL,5162,1595,917,903,599,541,,,607,0,0%,903,4259,0,,62,,,,,,,,,62,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,TN,,,6/03 15:00,6/3 23:11,SPA,BL,24822,10589,5472,,423,,,,3546,4792,19%,5613,11937,7272,29%,388,214,131,,7,,,,21,15,4%,28,333,27,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,TX,,,6/03 11:45,6/3 22:20,RL,AFG,68271,4130,2389,5981,501,,,,96,55174,81%,5981,7116,55174,81%,1734,183,67,123,6,,,,1,1354,78%,123,257,1354,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,UT,,,6/03 15:00,6/3 22:33,RL,RV,10497,3873,332,,255,351,416,,1216,1031,14%,4190,5276,1031,10%,117,,,,,,,,,117,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,VA,,,6/02 17:00,6/3 22:37,RL,AFG,46905,14647,6614,,,,,,10538,15106,32%,15257,15500,16148,34%,1428,787,286,,,,,,169,186,13%,128,1011,289,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,VT,,,6/03 10:35,6/3 22:46,RL,BL,990,901,35,,12,1,,,11,30,3%,27,859,104,11%,55,52,,,2,,,,1,0,0%,0,55,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,WA,,,6/03 2:59,6/3 22:52,RL,BL,22484,6150,1061,6474,1173,220,404,286,307,6409,29%,6474,9601,6409,29%,1135,754,33,112,101,11,9,15,23,77,7%,112,946,77,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,WI,,,6/03 0:00,6/3 22:55,JDL,BL,19400,10114,3726,,706,212,,,2535,2107,11%,6535,10531,2334,12%,616,418,153,,17,9,,,6,13,2%,60,542,14,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,WV,,,6/03 17:00,6/3 23:04,RL,BL,2077,1644,142,,,,,,291,0,0%,,,,,78,58,3,,,,,,,17,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,WY,,,6/03 17:41,6/3 23:02,JDL,RL,703,338,7,80,4,241,,,18,54,7%,80,608,54,7%,17,,,,,,,,,17,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
